% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=732709, Sun Apr 13 23:42:44 2025, <python>{}</python>
1 6 0.7081051326767379 1.0 -7765.559816875043 -7.7655598168750430e+03 -6213.06335231554 -4267.246572629059 2687.3139002549815   
2 12 0.9923279728065185 1.0 -7765.559816875043 -7.3318560473730358e+03 -5288.584199972336 -4957.208195161798 1585.370877767169   
3 18 2.035300139472063 1.0 -7812.102060799317 -7.8121020607993169e+03 -5172.601246227338 -4175.46510118066 1248.817652121239   
4 24 1.618232254172121 1.0 -7812.102060799317 -7.5848227939493954e+03 -5955.2803907629395 -5461.0061465181225 1142.1202346235368   
5 30 1.4165945034296357 1.0 -8451.992720050492 -8.4519927200504917e+03 -4673.971901088969 -3272.2607339124097 3326.8804454522597   
6 36 1.17896403638463 1.0 -8451.992720050492 -6.4979310994313646e+03 -6087.982880191496 -5658.4202758514675 632.5025611774645   
7 42 0.8066838403338714 1.0 -8451.992720050492 -7.2709938418904112e+03 -6545.569676562827 -3572.1492983142953 2202.342594522198   
8 48 0.5456616409298126 1.0 -8451.992720050492 -7.0541656568172839e+03 -4837.8316743680725 -3062.5810933280754 2752.4715340907837   
9 54 0.3859109327911306 1.0 -8451.992720050492 -6.8859036779543521e+03 -5885.071675646364 -3673.310357059041 1055.8768892099342   
10 60 0.3338711132398403 1.0 -8451.992720050492 -7.4479449559075001e+03 -5670.417561240476 -4138.681357804728 1040.6418439124118   
