% # columns="iter, evals, sigma, 0, fitness, xbest" seed=732709, Sun Apr 13 23:42:44 2025, <python>{}</python>
1 6 0.7081051326767379 0 -7765.559816875043 0.07545319003388891
2 12 0.9923279728065185 0 -7331.856047373036 -0.8970509908584514
3 18 2.035300139472063 0 -7812.102060799317 -2.2879757299580845
4 24 1.618232254172121 0 -7584.822793949395 0.5007783108436672
5 30 1.4165945034296357 0 -8451.992720050492 0.060470473587933615
6 36 1.17896403638463 0 -6497.931099431365 0.9376042182884284
7 42 0.8066838403338714 0 -7270.993841890411 0.8421442240767683
8 48 0.5456616409298126 0 -7054.165656817284 0.6439555632638349
9 54 0.3859109327911306 0 -6885.903677954352 0.5706532788182606
10 60 0.3338711132398403 0 -7447.9449559075 0.590718046404898
