% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=732709, Sun Apr 13 23:42:44 2025
1 6 0.7081051326767379 1.0 1.0 1.0
2 12 0.9923279728065185 0.7709754047699525 0.7709754047699525 0.7709754047699525
3 18 2.035300139472063 0.9152136408647973 0.9152136408647973 0.9152136408647973
4 24 1.618232254172121 1.0003851467394893 1.0003851467394893 1.0003851467394893
5 30 1.4165945034296357 0.985849582244228 0.985849582244228 0.985849582244228
6 36 1.17896403638463 0.861495104836179 0.861495104836179 0.861495104836179
7 42 0.8066838403338714 0.727148419836801 0.727148419836801 0.727148419836801
8 48 0.5456616409298126 0.5913464834917296 0.5913464834917296 0.5913464834917296
9 54 0.3859109327911306 0.4669148193446813 0.4669148193446813 0.4669148193446813
10 60 0.3338711132398403 0.37098988033215613 0.37098988033215613 0.37098988033215613
